Congruent,Média ?,"14,051",,,Incongruent,Média ?,"22,016"
"22,328",Mediana ?,"14,357",,,"35,255",Mediana ?,"21,0175"
"19,71",Moda ?,12,,,"34,288",Moda ?,"17 ""e"" 20"
"18,495",,,,,"26,282",,
"18,2",,,,,"25,139",,
"16,929",,,,,"24,572",,
"16,791",Range ?,"13,698",,,"24,524",Range ?,"19,568"
"16,004",Q1 ?,"11,344",,,"23,894",Q1 ?,"18,644"
"15,298",Q3 ?,"16,791",,,"22,803",Q3 ?,"24,524"
"15,073",IQR ?,"5,447",,,"22,158",IQR ?,"5,88"
"14,692",SD ?,"3,559",,,"22,058",SD ?,"4,797"
"14,669",,,,,"21,214",,
"14,48",,,,,"21,157",,
"14,233",,,,,"20,878",,
"12,944",,,,,"20,762",,
"12,369",,,,,"20,429",,
"12,238",,,,,"20,33",,
"12,13",,,,,"19,278",,
"12,079",,,,,"18,741",,
"11,344",,,,,"18,644",,
"10,639",,,,,"17,96",,
"9,564",,,,,"17,51",,
"9,401",,,,,"17,425",,
"8,987",,,,,"17,394",,
"8,63",,,,,"15,687",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Tempo,Frequência,,,,Tempo,Frequência,
8,2,,,,15,1,
9,2,,,,16,0,
10,1,,,,17,4,
11,1,,,,18,2,
12,5,,,,19,1,
13,0,,,,20,4,
14,4,,,,21,2,
15,2,,,,22,3,
16,3,,,,23,1,
17,0,,,,24,2,
18,2,,,,25,1,
19,1,,,,26,1,
20,0,,,,27,0,
21,0,,,,28,0,
22,1,,,,29,0,
,,,,,30,0,
,,,,,31,0,
,,,,,32,0,
,,,,,33,0,
,,,,,34,1,
,,,,,35,1,
,,,,,,,
,,,,,,,
,,,M ?,"-7,96479166666666",,,
Congruent,Incongruent,D,D-M,(D-M)^2,SS ?,"544,330439958333",
"12,079","19,278","-7,199","0,765791666666665","0,586436876736109",Variancia ?,"23,6665408677536",
"16,791","18,741","-1,95","6,01479166666666","36,1777187934027",S ?,"4,86482691035905",
"9,564","21,214","-11,65","-3,68520833333334","13,5807604600695",,,
"8,63","15,687","-7,057","0,907791666666665","0,824085710069441",estatística T ?,"-8,02091674000711",
"14,669","22,803","-8,134","-0,169208333333337","0,0286314600694457",,,
"12,238","20,878","-8,64","-0,675208333333337","0,455906293402783",,,
"14,692","24,572","-9,88","-1,91520833333334","3,66802296006945",,,
"8,987","17,394","-8,407","-0,442208333333335","0,195548210069446",,,
"9,401","20,762","-11,361","-3,39620833333334","11,5342310434028",,,
"14,48","26,282","-11,802","-3,83720833333334","14,7241677934028",,,
"22,328","24,524","-2,196","5,76879166666666","33,2789572934027",,,
"15,298","18,644","-3,346","4,61879166666667","21,3332364600694",,,
"15,073","17,51","-2,437","5,52779166666666","30,5564807100694",,,
"16,929","20,33","-3,401","4,56379166666666","20,8281943767361",,,
"18,2","35,255","-17,055","-9,09020833333334","82,6318875434029",,,
"12,13","22,158","-10,028","-2,06320833333334","4,25682862673613",,,
"18,495","25,139","-6,644","1,32079166666666","1,74449062673611",,,
"10,639","20,429","-9,79","-1,82520833333334","3,33138546006945",,,
"11,344","17,425","-6,081","1,88379166666666","3,54867104340276",,,
"12,369","34,288","-21,919","-13,9542083333333","194,719930210069",,,
"12,944","23,894","-10,95","-2,98520833333333","8,91146879340278",,,
"14,233","17,96","-3,727","4,23779166666666","17,9588782100694",,,
"19,71","22,058","-2,348","5,61679166666666","31,5483486267361",,,
"16,004","21,157","-5,153","2,81179166666666","7,9061723767361",,,
